Chapter,Family,Name,Amount,Ingredient,Notes
,,,1 oz,sparkling white wine,
,,,1,lemon wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Gilligan's Island Iced Tea,0.5 oz,vodka,
,,,0.5 oz,light rum,
,,,0.5 oz,gin,
,,,0.5 oz,tequila,
,,,0.5 oz,triple sec,
,,,1 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1 oz,red grape juice,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Hawaiian Iced Tea,0.5 oz,vodka,
,,,0.5 oz,light rum,
,,,0.5 oz,gin,
,,,0.5 oz,tequila,
,,,0.5 oz,triple sec,
,,,1 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1 oz,pineapple juice,
,,,1,lime wedge,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Sours,Whiskey Sour,1.5 oz,rye whiskey,
,,,1.5 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,0.5,egg white,
,,,4 dashes,bitters,
,,,5-10 sec,shake,shake
,,,1,orange boat,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Bourbon Sour,1.5 oz,bourbon,
,,,1.5 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,0.5,egg white,
,,,4 dashes,bitters,
,,,5-10 sec,shake,shake
,,,1,orange boat,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Amaretto Sour,1.5 oz,amaretto,
,,,1.5 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,0.5,egg white,
,,,4 dashes,bitters,
,,,5-10 sec,shake,shake
,,,1,orange boat,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
,,Sloe Gin Fizz,1.5 oz,sloe gin,
,,,1.5 oz,lemon juice,
,,,0.5 oz,simple syrup,
,,,0.5,egg white,
,,,4 dashes,bitters,
,,,1 oz,club soda,
,,,5-10 sec,shake,shake
,,,1,orange boat,garnish
,,,some,ice cubes,ice
,,,1,rocks glass,glass
