Chapter,Family,Name,Amount,Ingredient,Notes
,,,1 oz,half & half cream,
,,,1 oz,coconut cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,maraschino cherries,garnish
,,,1,hurricane glass,glass
,,Chi Chi,1.5 oz,vodka,
,,,2 oz,pineapple juice,
,,,1 oz,half & half cream,
,,,1 oz,coconut cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,pineapple flag,garnish
,,,1,hurricane glass,glass
,Margaritas,Lime Margarita on the Rocks,1,salted rim,garnish
,,,1,margarita glass,glass
,,,some,crushed ice,ice
,,,1 oz,tequila,
,,,0.5 oz,triple sec,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,lime wedge,garnish
,,Strawberry Margarita on the Rocks,1,superfine sugar rim,garnish
,,,1,margarita glass,glass
,,,some,crushed ice,ice
,,,4,strawberries,
,,,1,muddle,muddle
,,,1 oz,tequila,
,,,0.5 oz,triple sec,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,lime wedge,garnish
,,Frozen Raspberry Margarita,1,superfine sugar rim,garnish
,,,1,margarita glass,glass
,,,12,raspberries,
,,,1 oz,tequila,
,,,0.5 oz,triple sec,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,3,raspberries,garnish
,,Frozen Peach Margarita,0.25,peach,
,,,1 oz,tequila,
,,,0.5 oz,triple sec,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,peach slice,garnish
,,,1,margarita glass,glass
,,Italian Margarita,1,salted rim,garnish
,,,1 oz,tequila,
,,,0.5 oz,amaretto,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,lime wedge,garnish
,,,some,crushed ice,ice
,,,1,margarita glass,glass
Frozen Drinks & Creamy Cocktails,Creamy Cocktails,Creme Brule,1,rocks glass,glass
,,,some,ice cubes,ice
,,,1 oz,vanilla vodka,
,,,0.5 oz,butterscotch schnapps,
,,,2 oz,half & half cream,
,,,0.5 oz,simple syrup,
,,,0.5,egg white,
,,,5-10 sec,shake,shake
,,,some,cinammon,garnish
,,Jamaican Bobsled,1,rocks glass,glass
,,,some,ice cubes,ice
,,,1 oz,spiced rum,
,,,0.5 oz,Tia Maria,
,,,2 oz,half & half cream,
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,Strawberry Shortcake,1 oz,vanilla vodka,
,,,1 oz,amaretto,
,,,4,strawberries,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,strawberries,garnish
,,Kid in a Candy Store,1 oz,Chambord,
,,,0.5 oz,amaretto,
,,,0.5 oz,Baileys,
,,,4,Oreo cookies,
,,,6,maraschino cherries,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,maraschino cherries,garnish
,Kahlua Cocktails,Brown Cow,1,rocks glass,glass
,,,some,ice cubes,ice
,,,1.5 oz,Kahlua,
,,,2.5 oz,half & half cream,
,,,1,maraschino cherries,garnish
,,Mudslide,1,rocks glass,glass
,,,some,ice cubes,ice
,,,1.5 oz,vodka,
,,,0.5 oz,Kahlua,
,,,0.5 oz,Baileys,
,,,2 oz,half & half cream,
,,,1,maraschino cherries,garnish
,,Toasted Almond,1,rocks glass,glass
,,,some,ice cubes,ice
,,,1.5 oz,amaretto,
,,,1 oz,Kahlua,
,,,2 oz,half & half cream,
,,,1,maraschino cherries,garnish
,,Butterscotch Mocha Bliss,1,rocks glass,glass
,,,some,ice cubes,ice
,,,1.5 oz,Kahlua,
,,,1 oz,butterscotch schnapps,
,,,2 oz,half & half cream,
,,,1,maraschino cherries,garnish
,,Friar Tuck,1,rocks glass,glass
,,,some,ice cubes,ice
,,,1.5 oz,Frangelico,
,,,1 oz,Kahlua,
,,,2 oz,half & half cream,
,,,1,maraschino cherries,garnish
,Frozen Drinks I,Chocolate Strawberry Blizzard,1.5 oz,Kahlua,
,,,2 oz,half & half cream,
,,,1 oz,chocolate syrup,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,2,strawberries,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,chocolate-dipped strawberry,garnish
,,Death by Chocolate,1 oz,dark creme de cacao,
,,,0.5 oz,Baileys,
,,,2 oz,half & half cream,
,,,2 scoops,chocolate ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,maraschino cherries,garnish
,,Banana Sandwich,1 oz,light rum,
,,,0.5 oz,banana liqueur,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,3,Oreo cookies,
,,,0.5,banana,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,Oreo cookies,garnish
,,Banana Boat,1 oz,light rum,
,,,0.5 oz,banana liqueur,
,,,0.5 oz,white creme de cacao,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,0.5,banana,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,banana slice,garnish
,Frozen Drinks II,Barnumint Bailey,0.75 oz,Baileys,
,,,0.75 oz,green creme de menthe,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,3,Oreo cookies,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,Oreo cookies,garnish
,,FBI,0.5 oz,Baileys,
,,,0.5 oz,Kahlua,
,,,0.5 oz,vodka,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,maraschino cherries,garnish
,,Frozen Mudslide,0.5 oz,Baileys,
,,,0.5 oz,Kahlua,
,,,0.5 oz,vodka,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1 oz,chocolate syrup,
,,,1,hurricane glass,glass
,,Honey Bunny,0.5 oz,Baileys,
,,,0.5 oz,Frangelico,
,,,0.5 oz,vanilla vodka,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1 oz,honey,
,,,1,hurricane glass,glass
,Frozen Drinks III,Cocobanana,0.5 oz,dark creme de cacao,
,,,0.5 oz,banana liqueur,
,,,0.5 oz,amaretto,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,0.5,banana,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,banana slice,garnish
,,Brazilian Monk,0.5 oz,dark creme de cacao,
,,,0.5 oz,Frangelico,
,,,0.5 oz,Kahlua,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,maraschino cherries,garnish
,,Dreamsicle,1 oz,white creme de cacao,
,,,1 oz,triple sec,
,,,1 oz,half & half cream,
,,,1 scoop,vanilla ice cream,
,,,1 scoop,orange sherbet,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,orange boat,garnish
,,Smile When You're Blue,1 oz,light rum,
,,,1 oz,blue curacao,
,,,2 oz,half & half cream,
,,,2 scoops,vanilla ice cream,
,,,1 cup,crushed ice,
,,,12,blueberries,
,,,1,blender,blend
,,,1,hurricane glass,glass
,,,1,orange boat,garnish
Alcohol-Free Cocktails,Citrus Mocktails,Homemade Lemonade,0.5,lemon zest,
,,,1.5 oz,simple syrup,
,,,4 oz,boiling water,
,,,4 oz,ice-cold water,
,,,1 oz,lemon juice,
,,,1,highball glass,glass
,,,1,lemon wheel,garnish
,,Virgin Caipirinha,0.5,lemon,
,,,0.5,lime,
,,,0.5,mandarin orange,
,,,0.5 oz,simple syrup,
,,,1,highball glass,glass
,,,1,muddle,muddle
,,,some,crushed ice,ice
,,,6 oz,ginger ale,
,,,1 sprig,mint,garnish
,,Virgin Seabreeze,1,highball glass,glass
,,,some,ice cubes,ice
,,,3 oz,red cranberry juice,
,,,3 oz,white grapefruit juice,
,,,0.5 oz,grenadine,
,,,5-10 sec,shake,shake
,,,1,lime wheel,garnish
,,Shirley Temple,1,highball glass,glass
,,,some,ice cubes,ice
,,,0.25,lime,
,,,6 oz,ginger ale,
,,,0.5 oz,grenadine,
,,,1,maraschino cherries,garnish
,,Homemade Limeade,0.5,lime zest,
,,,1.5 oz,simple syrup,
,,,4 oz,boiling water,
,,,4 oz,ice-cold water,
,,,1 oz,lime juice,
,,,1,highball glass,glass
,,,1,lemon wheel,garnish
,Cranberry-Based Mocktails,Virgin Madras,1,highball glass,glass
,,,some,ice cubes,ice
,,,3 oz,red cranberry juice,
,,,3 oz,orange juice,
,,,5-10 sec,shake,shake
,,,1,lime wheel,garnish
,,Shakers Dream,1,highball glass,glass
,,,some,ice cubes,ice
,,,3 oz,lemonade,
,,,2 oz,red cranberry juice,
,,,2 oz,pineapple juice,
,,,5-10 sec,shake,shake
,,,1,lime wheel,garnish
,,Cranberry Pucker,1,highball glass,glass
,,,some,ice cubes,ice
,,,3 oz,lemonade,
,,,3 oz,red cranberry juice,
,,,5-10 sec,shake,shake
,,,1 oz,club soda,
,,,1,lemon wheel,garnish
,,Berry Sweetheart,1,highball glass,glass
,,,some,ice cubes,ice
,,,3 oz,red cranberry juice,
,,,3 oz,apple juice,
,,,1 oz,honey,
,,,1,maraschino cherries,garnish
,Tropical Mocktails,Virgin Strawberry Sling,1,highball glass,glass
,,,some,ice cubes,ice
,,,2 oz,apple juice,
,,,2 oz,pineapple juice,
,,,1 oz,strawberry puree,
,,,5-10 sec,shake,shake
,,,1 oz,club soda,
,,,1,strawberries,garnish
,,Virgin Singapore Sling,1,highball glass,glass
,,,some,ice cubes,ice
,,,2 oz,orange juice,
,,,2 oz,pineapple juice,
,,,1 oz,lime juice,
,,,5-10 sec,shake,shake
,,,6 oz,club soda,
,,,0.25 oz,grenadine,
,,,1,maraschino cherries,garnish
,,Tropical Ale,1,highball glass,glass
,,,some,ice cubes,ice
,,,3 oz,pineapple juice,
,,,3 oz,ginger ale,
,,,0.5 oz,grenadine,
,,,1,maraschino cherries,garnish
,,Pineapple Passion,1,highball glass,glass
,,,some,ice cubes,ice
,,,2 oz,pineapple juice,
,,,2 oz,orange juice,
,,,2 oz,lemonade,
,,,0.5 oz,grenadine,
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,Elegant Mocktails,Virgin Cosmopolitan,some,ice cubes,ice
,,,4 oz,red cranberry juice,
,,,0.5 oz,lime cordial,
,,,0.5,lime,
,,,0.25,orange,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Virgin Lychee-tini,some,ice cubes,ice
,,,2 oz,apple juice,
,,,2 oz,red cranberry juice,
,,,1 oz,lychee juice,
,,,1 oz,lime juice,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,lychee,garnish
,,Virgin Bellini,2 oz,peach puree,
,,,1,champagne flute,glass
,,,4 oz,alcohol-free sparkling white wine,
,,,1,peach slice,garnish
,,Virgin Mojito,0.5 oz,lime juice,
,,,0.5 oz,simple syrup,
,,,8 to 10,mint leaves,
,,,1,rocks glass,glass
,,,1,muddle,muddle
,,,some,crushed ice,ice
,,,6 oz,club soda,
,,,1 sprig,mint,garnish
,,Virgin Metropolitan,some,ice cubes,ice
,,,4 oz,red cranberry juice,
,,,0.5 oz,black currant cordial,
,,,0.5,lime,
,,,0.25,orange,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Virgin Strawberry Bellini,2 oz,strawberry puree,
,,,1,champagne flute,glass
,,,4 oz,alcohol-free sparkling white wine,
,,,1,strawberries,garnish
,Wine-Based Mocktails,Virgin Wine Spritzer,some,ice cubes,ice
,,,1,wine glass,glass
,,,4 oz,alcohol-free white wine,
,,,2 oz,club soda,
,,,1,lime wedge,garnish
,,Virgin Wine Cooler,some,ice cubes,ice
,,,1,wine glass,glass
,,,4 oz,alcohol-free white wine,
,,,2 oz,lemon-lime soda,
,,,1,lime wedge,garnish
,,Virgin Morning Glory,2 oz,orange juice,
,,,1,champagne flute,glass
,,,4 oz,alcohol-free sparkling white wine,
,,,1,orange spiral,garnish
,,Virgin Sangria,2.5 oz,alcohol-free red wine,
,,,0.4 oz,red cranberry juice,
,,,0.4 oz,orange juice,
,,,0.2 oz,lime juice,
,,,0.15 oz,simple syrup,
,,,0.1,apple,
,,,0.1,pear,
,,,0.1,orange,
,,,0.1,lemon,
,,,0.1,lime,
,,,some,ice cubes,ice
,,,1,highball glass,glass
,Tomato-Based Mocktails,Virgin Bloody Mary,1,salted rim,garnish
,,,1,highball glass,glass
,,,some,ice cubes,ice
,,,6 oz,tomato juice,
,,,2 shakes,Worcestershire sauce,
,,,2 shakes,Tabasco sauce,
,,,2 shakes,salt,
,,,2 shakes,pepper,
,,,1,lemon wheel,garnish
,,Virgin Bloody Caesar,1,celery salted rim,garnish
,,,1,highball glass,glass
,,,some,ice cubes,ice
,,,6 oz,clam-tomato juice,
,,,2 shakes,Worcestershire sauce,
,,,2 shakes,Tabasco sauce,
,,,2 shakes,salt,
,,,2 shakes,pepper,
,,,1,celery stalk,garnish
,,,1,lime wheel,garnish
,Frozen Mocktails I,Virgin Pina Colada,2 oz,pineapple juice,
,,,2 oz,coconut cream,
,,,1 oz,half & half cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,pineapple flag,garnish
,,Virgin Strawberry Colada,2 oz,pineapple juice,
,,,1 oz,coconut cream,
,,,1 oz,half & half cream,
,,,2 oz,strawberry puree,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,strawberries,garnish
,,Virgin Strawberry Daiquiri,3 oz,strawberry puree,
,,,3 oz,lime juice,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,strawberries,garnish
,,Virgin Miami Vice,1 oz,pineapple juice,
,,,1 oz,coconut cream,
,,,0.5 oz,half & half cream,
,,,1.5 oz,strawberry puree,
,,,1.5 oz,lime juice,
,,,0.25 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,strawberries,garnish
,,Virgin Mango Colada,2 oz,pineapple juice,
,,,1 oz,coconut cream,
,,,1 oz,half & half cream,
,,,0.5,mango,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,pineapple flag,garnish
,,Virgin Banana Colada,2 oz,pineapple juice,
,,,1 oz,coconut cream,
,,,1 oz,half & half cream,
,,,0.5,banana,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,pineapple flag,garnish
,,Virgin Mango Daiquiri,0.5,mango,
,,,3 oz,lime juice,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,strawberries,garnish
,,Virgin Banana Daiquiri,0.5,banana,
,,,3 oz,lime juice,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,strawberries,garnish
,Frozen Mocktails II,Big Wave Surfer,2 oz,orange juice,
,,,2 oz,pineapple juice,
,,,1 oz,strawberry puree,
,,,1,kiwi,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,kiwi slice,garnish
,,Banana Berry,4 oz,red cranberry juice,
,,,1 scoop,orange sherbet,
,,,0.5,banana,
,,,1 cup,crushed ice,
,,,0.5,lime,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,lime wheel,garnish
,,Strawberry Sensation,2 oz,strawberry puree,
,,,2 oz,pineapple juice,
,,,2 oz,orange juice,
,,,1,egg white,
,,,1 tsp,honey,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,strawberries,garnish
,,Strawberry Lassi,2 oz,plain yogurt,
,,,4 oz,water,
,,,1 oz,honey,
,,,4,strawberries,
,,,1,blender,blend
,,,1 cup,crushed ice,
,,,1,highball glass,glass
,,,2 to 3,rose petals,garnish
,,,1 sprig,mint,garnish
,,Broken Screwdriver,2 oz,orange juice,
,,,2 scoops,orange sherbet,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,orange boat,garnish
,Frozen Mocktails III,Orange Raz Smoothie,12 to 15,raspberries,
,,,2 oz,orange juice,
,,,4 oz,plain yogurt,
,,,1,blender,blend
,,,1 cup,crushed ice,
,,,1,highball glass,glass
,,,1 sprig,mint,garnish
,,Hawaiian Gold Smoothie,3 oz,pineapple juice,
,,,3 oz,white grapefruit juice,
,,,1.5 oz,coconut cream,
,,,1,blender,blend
,,,1 cup,crushed ice,
,,,1,highball glass,glass
,,,1,pineapple wedge,garnish
,,Cookies Gone Bananas,2 oz,milk,
,,,2 scoops,cookie dough ice cream,
,,,1 oz,chocolate syrup,
,,,2 dashes,cinnamon,
,,,0.5,banana,
,,,1 oz,espresso,
,,,1,blender,blend
,,,1 cup,crushed ice,
,,,1,highball glass,glass
,,,some,nutmeg,garnish
,,,1,banana slice,garnish
,,Ice Cream Sandwich,3 oz,milk,
,,,0.5 tsp,vanilla extract,
,,,2 scoops,vanilla ice cream,
,,,3,Oreo cookies,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,highball glass,glass
,,,1,Oreo cookies,garnish
Martinis,Classic Martinis,Classic Gin Martini,some,ice cubes,ice
,,,2.5 oz,gin,
,,,0.5 oz,dry vermouth,
,,,1,cocktail glass,glass
,,,3,cocktail olives,garnish
,,Classic Vodka Martini,some,ice cubes,ice
,,,2.5 oz,vodka,
,,,0.5 oz,dry vermouth,
,,,1,cocktail glass,glass
,,,1,lemon twist,garnish
,,Gibson,some,ice cubes,ice
,,,2.5 oz,gin,
,,,0.5 oz,dry vermouth,
,,,1,cocktail glass,glass
,,,1,cocktail onions,garnish
,,Dirty Martini,some,ice cubes,ice
,,,2.5 oz,gin,
,,,0.5 oz,dry vermouth,
,,,0.5 oz,olive brine,
,,,1,cocktail glass,glass
,,,3,cocktail olives,garnish
,,Vesper,some,ice cubes,ice
,,,1.5 oz,gin,
,,,0.5 oz,vodka,
,,,0.25 oz,dry vermouth,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,lemon twist,garnish
,Classic Cocktail Martinis,Scarlet O'Hara,some,ice cubes,ice
,,,2 oz,Southern Comfort,
,,,3 oz,red cranberry juice,
,,,0.25,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,3,cranberries,garnish
,,Sidecar,1,superfine sugar rim,garnish
,,,1,cocktail glass,glass
,,,some,ice cubes,ice
,,,1.5 oz,cognac,
,,,1 oz,triple sec,
,,,0.25,lemon,
,,,5-10 sec,shake,shake
,,,1 oz,sparkling water,
,,Blue Blazer,2 oz,scotch,
,,,2 tsp,honey,
,,,0.25,lemon,
,,,1 oz,boiling water,
,,,1,cocktail glass,glass
,,,1,lemon spiral,garnish
,,Between the Sheets,some,ice cubes,ice
,,,1 oz,rum,
,,,1 oz,cognac,
,,,0.5 oz,triple sec,
,,,1 oz,water,
,,,0.25,lemon,
,,,0.25 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Cable Car,some,ice cubes,ice
,,,1.5 oz,spiced rum,
,,,1 oz,triple sec,
,,,0.25,lemon,
,,,0.25 oz,simple syrup,
,,,0.5,egg white,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,lemon twist,garnish
,Manhattans,Classic Manhattan,some,ice cubes,ice
,,,2.5 oz,bourbon,
,,,0.5 oz,sweet vermouth,
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,,Rob Roy,some,ice cubes,ice
,,,2.5 oz,scotch,
,,,0.5 oz,sweet vermouth,
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,,"New York, New York",some,ice cubes,ice
,,,2.5 oz,bourbon,
,,,0.5 oz,grenadine,
,,,0.5,lemon,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Martinez,some,ice cubes,ice
,,,1.5 oz,gin,
,,,0.5 oz,sweet vermouth,
,,,0.5 oz,triple sec,
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,Cosmopolitans,Cosmopolitan,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,triple sec,
,,,3 oz,red cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Metropolitan,some,ice cubes,ice
,,,1.25 oz,currant vodka,
,,,0.75 oz,triple sec,
,,,3 oz,red cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Blue Cosmopolitan,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,blue curacao,
,,,3 oz,white cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Razzmopolitan,some,ice cubes,ice
,,,1.25 oz,raspberry vodka,
,,,0.75 oz,triple sec,
,,,3 oz,red cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,3,raspberries,garnish
,,Crantini,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,lime cordial,
,,,3 oz,red cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,White Cosmopolitan,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,triple sec,
,,,3 oz,white cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Apri-cosmo,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,apricot brandy,
,,,3 oz,red cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Grand Cosmopolitan,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,Grand Marnier,
,,,3 oz,red cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,Sour Martinis,Sour Apple Martini,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,sour apple liqueur,
,,,3 oz,apple juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,lime wheel,garnish
,,Sour Peach Martini,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,sour peach liqueur,
,,,3 oz,pineapple juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,peach slice,garnish
,,Sour Raspberry Martini,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,sour raspberry liqueur,
,,,3 oz,red cranberry juice,
,,,0.5 oz,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,3,raspberries,garnish
,,Sour Blueberry Martini,some,ice cubes,ice
,,,1.25 oz,vodka,
,,,0.75 oz,sour blueberry liqueur,
,,,3 oz,white cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,5,blueberries,garnish
,Springtime in Paris,PS I Love You,some,ice cubes,ice
,,,1 oz,amber rum,
,,,0.5 oz,Baileys,
,,,0.5 oz,Kahlua,
,,,0.5 oz,amaretto,
,,,2 oz,half & half cream,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,,,sprinkle,cinammon,garnish
,,Passion Fruit Martini,some,ice cubes,ice
,,,1.5 oz,vodka,
,,,1 oz,passion fruit liqueur,
,,,3 oz,apple juice,
,,,0.5,egg white,
,,,0.5,passion fruit,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,orange spiral,garnish
,,Cupid's Arrow,some,ice cubes,ice
,,,1.5 oz,citrus vodka,
,,,1 oz,sloe gin,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,3,raspberries,garnish
,,Rose Petal,some,ice cubes,ice
,,,1.5 oz,vodka,
,,,0.5 oz,white creme de cacao,
,,,0.5 oz,lychee liqueur,
,,,0.25 oz,grenadine,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,rose petals,garnish
,Chocolate Martinis,Classic Chocolate Martini,1,cocoa power rim,garnish
,,,1,cocktail glass,glass
,,,some,ice cubes,ice
,,,1.75 oz,vodka,
,,,0.75 oz,white creme de cacao,
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,Vanilla Chocolate Martini,some,ice cubes,ice
,,,1.75 oz,vanilla vodka,
,,,0.75 oz,white creme de cacao,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,,White Chocolate Martini,some,ice cubes,ice
,,,1.5 oz,vanilla vodka,
,,,0.5 oz,white creme de cacao,
,,,0.5 oz,Baileys,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,,Chocolate Mint Martini,some,ice cubes,ice
,,,1.5 oz,vanilla vodka,
,,,0.5 oz,white creme de cacao,
,,,0.5 oz,white creme de menthe,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,,,1 sprig,mint,garnish
,,Raspberry Chocolate Martini,1,cocoa power rim,garnish
,,,1,cocktail glass,glass
,,,some,ice cubes,ice
,,,1.75 oz,raspberry vodka,
,,,0.75 oz,white creme de cacao,
,,,5-10 sec,shake,shake
,,,3,raspberries,garnish
,Lychee Martinis,Classic Lychee Martini,some,ice cubes,ice
,,,1.75 oz,vodka,
,,,0.75 oz,lychee liqueur,
,,,1 oz,lychee syrup,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,lychee,garnish
,,Lychee Pinetini,some,ice cubes,ice
,,,1.75 oz,vodka,
,,,0.75 oz,lychee liqueur,
,,,2 oz,pineapple juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,,Cosmopo-lychee,some,ice cubes,ice
,,,1.75 oz,vodka,
,,,0.75 oz,lychee liqueur,
,,,3 oz,red cranberry juice,
,,,0.5,lime,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,lychee,garnish
,,Meloncholy-chee,some,ice cubes,ice
,,,1.5 oz,vodka,
,,,0.5 oz,lychee liqueur,
,,,0.5 oz,Midori melon liqueur,
,,,2 oz,pineapple juice,
,,,5-10 sec,shake,shake
,,,1,cocktail glass,glass
,,,1,maraschino cherries,garnish
,Asian-Inspired Martinis,Japanese Slipper Martini,1,superfine sugar rim,garnish
,,,1,cocktail glass,glass
,,,some,ice cubes,ice
,,,1.75 oz,tequila,
,,,0.75 oz,Midori melon liqueur,
,,,0.5 oz,simple syrup,
